codigo_ocorrencia1;ocorrencia_tipo;taxonomia_tipo_icao
83958;COLISÃO COM AVE;BIRD
83957;COLISÃO COM AVE;BIRD
83956;COLISÃO COM AVE;BIRD
83955;COLISÃO COM AVE;BIRD
83954;COLISÃO COM FAUNA;WILD
83953;COLISÃO COM AVE;BIRD
83952;COLISÃO COM AVE;BIRD
83951;COLISÃO COM AVE;BIRD
83950;COLISÃO COM AVE;BIRD
83949;COLISÃO COM AVE;BIRD
83948;COLISÃO COM AVE;BIRD
83947;COLISÃO COM AVE;BIRD
83946;COLISÃO COM AVE;BIRD
83945;COLISÃO COM AVE;BIRD
83944;COLISÃO COM AVE;BIRD
83943;COLISÃO COM AVE;BIRD
83942;COLISÃO COM AVE;BIRD
83941;COLISÃO COM AVE;BIRD
83940;COLISÃO COM AVE;BIRD
83939;COLISÃO COM AVE;BIRD
83938;COLISÃO COM FAUNA;WILD
83937;COLISÃO COM AVE;BIRD
83936;COLISÃO COM AVE;BIRD
83935;COLISÃO COM AVE;BIRD
83934;COLISÃO COM AVE;BIRD
83933;COLISÃO COM FAUNA;WILD
83932;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83931;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83931;FOGO/FUMAÇA (SEM IMPACTO);F-NI
83930;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83929;COLISÃO COM AVE;BIRD
83928;COLISÃO COM AVE;BIRD
83927;COLISÃO COM FAUNA;WILD
83926;COLISÃO COM FAUNA;WILD
83925;COLISÃO COM AVE;BIRD
83924;COLISÃO COM AVE;BIRD
83923;COLISÃO COM AVE;BIRD
83922;COLISÃO COM AVE;BIRD
83921;COLISÃO COM AVE;BIRD
83920;COLISÃO COM AVE;BIRD
83919;COLISÃO COM AVE;BIRD
83918;COLISÃO COM AVE;BIRD
83917;COLISÃO COM AVE;BIRD
83916;COLISÃO COM AVE;BIRD
83915;COLISÃO COM AVE;BIRD
83914;COLISÃO COM AVE;BIRD
83913;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83912;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83911;CONTATO ANORMAL COM A PISTAA;ARC
83911;EXCURSÃO DE PISTA;RE
83910;OUTROS;OTHR
83909;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83908;COLISÃO COM AVE;BIRD
83907;COLISÃO COM AVE;BIRD
83906;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
83905;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83904;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83903;OPERAÇÕES NO SOLO;[RAMP]
83902;OPERAÇÕES NO SOLO;[RAMP]
83901;CORTANTE DE VENTO / TEMPESTADE;WSTRW
83900;OPERAÇÕES NO SOLO;[RAMP]
83899;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83898;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
83897;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83896;EXCURSÃO DE PISTA;RE
83896;PERDA DE CONTROLE NO SOLO;LOC-G
83895;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83894;COLISÃO COM AVE;BIRD
83893;COLISÃO COM AVE;BIRD
83892;COLISÃO COM AVE;BIRD
83891;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83890;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
83889;CONTATO ANORMAL COM A PISTAA;ARC
83889;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83888;POUSO EM LOCAL NÃO PREVISTO;OTHR
83887;COLISÃO COM AVE;BIRD
83886;COLISÃO COM AVE;BIRD
83885;COLISÃO COM AVE;BIRD
83884;COLISÃO COM AVE;BIRD
83883;COLISÃO COM AVE;BIRD
83882;COLISÃO COM AVE;BIRD
83881;COLISÃO COM AVE;BIRD
83880;COLISÃO COM AVE;BIRD
83879;COLISÃO COM AVE;BIRD
83878;COLISÃO COM AVE;BIRD
83877;COLISÃO COM AVE;BIRD
83876;COLISÃO COM AVE;BIRD
83875;COLISÃO COM AVE;BIRD
83874;COLISÃO COM AVE;BIRD
83873;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83872;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
83871;COLISÃO COM AVE;BIRD
83870;COLISÃO COM AVE;BIRD
83869;COLISÃO COM AVE;BIRD
83868;COLISÃO COM AVE;BIRD
83867;COLISÃO COM AVE;BIRD
83866;COLISÃO COM AVE;BIRD
83865;COLISÃO COM AVE;BIRD
83864;COLISÃO COM AVE;BIRD
83863;COLISÃO COM AVE;BIRD
83862;COLISÃO COM AVE;BIRD
83860;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
83859;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83858;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83857;CONTATO ANORMAL COM A PISTAA;ARC
83856;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83855;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83854;COLISÃO COM AVE;BIRD
83853;COLISÃO COM AVE;BIRD
83852;COLISÃO COM AVE;BIRD
83851;COLISÃO COM AVE;BIRD
83850;COLISÃO COM AVE;BIRD
83844;COLISÃO COM FAUNA;WILD
83843;COLISÃO COM FAUNA;WILD
83842;COLISÃO COM AVE;BIRD
83841;COLISÃO COM FAUNA;WILD
83840;COLISÃO COM AVE;BIRD
83839;COLISÃO COM FAUNA;WILD
83838;COLISÃO COM AVE;BIRD
83837;COLISÃO COM AVE;BIRD
83836;COLISÃO COM AVE;BIRD
83835;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83834;COLISÃO COM AVE;BIRD
83833;COLISÃO COM AVE;BIRD
83832;COLISÃO COM AVE;BIRD
83831;COLISÃO COM AVE;BIRD
83830;COLISÃO COM AVE;BIRD
83829;COLISÃO COM AVE;BIRD
83828;COLISÃO COM AVE;BIRD
83827;COLISÃO COM AVE;BIRD
83826;COLISÃO COM AVE;BIRD
83825;COLISÃO COM AVE;BIRD
83824;COLISÃO COM AVE;BIRD
83823;COLISÃO COM AVE;BIRD
83822;EXCURSÃO DE PISTA;RE
83821;EXCURSÃO DE PISTA;RE
83820;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83819;COLISÃO COM AVE;BIRD
83818;COLISÃO COM AVE;BIRD
83817;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83816;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83815;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83814;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83813;EXCURSÃO DE PISTA;RE
83812;COLISÃO COM AVE;BIRD
83811;COLISÃO COM AVE;BIRD
83810;COLISÃO COM AVE;BIRD
83809;COLISÃO COM AVE;BIRD
83808;COLISÃO COM AVE;BIRD
83807;COLISÃO COM AVE;BIRD
83806;COLISÃO COM AVE;BIRD
83805;COLISÃO COM AVE;BIRD
83804;COLISÃO COM AVE;BIRD
83802;COLISÃO COM AVE;BIRD
83801;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
83800;COLISÃO COM FAUNA;WILD
83799;COLISÃO COM FAUNA;WILD
83798;COLISÃO COM FAUNA;WILD
83797;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
83797;OPERAÇÃO A BAIXA ALTITUDE;LALT
83796;EXCURSÃO DE PISTA;RE
83795;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83794;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83793;OPERAÇÕES NO SOLO;[RAMP]
83792;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83790;COLISÃO COM AVE;BIRD
83789;COLISÃO COM AVE;BIRD
83788;COLISÃO COM AVE;BIRD
83787;COLISÃO COM AVE;BIRD
83786;COLISÃO COM AVE;BIRD
83785;COLISÃO COM AVE;BIRD
83783;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83782;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83781;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83780;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83779;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83778;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83776;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83776;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
83775;PERDA DE CONTROLE EM VOO;LOC-I
83774;COLISÃO COM AVE;BIRD
83773;COLISÃO COM AVE;BIRD
83772;COLISÃO COM AVE;BIRD
83771;COLISÃO COM AVE;BIRD
83770;COLISÃO COM AVE;BIRD
83769;COLISÃO COM AVE;BIRD
83768;COLISÃO COM FAUNA;WILD
83767;COLISÃO COM AVE;BIRD
83766;COLISÃO COM FAUNA;WILD
83765;COLISÃO COM AVE;BIRD
83764;COLISÃO COM FAUNA;WILD
83763;COLISÃO COM AVE;BIRD
83762;COLISÃO COM AVE;BIRD
83761;COLISÃO COM FAUNA;WILD
83760;COLISÃO COM AVE;BIRD
83759;COLISÃO COM FAUNA;WILD
83758;COLISÃO COM AVE;BIRD
83757;COLISÃO COM FAUNA;WILD
83756;COLISÃO COM AVE;BIRD
83755;COLISÃO COM AVE;BIRD
83754;COLISÃO COM AVE;BIRD
83753;COLISÃO COM AVE;BIRD
83752;COLISÃO COM AVE;BIRD
83751;COLISÃO COM AVE;BIRD
83750;COLISÃO COM AVE;BIRD
83749;COLISÃO COM AVE;BIRD
83748;COLISÃO COM AVE;BIRD
83747;COLISÃO COM AVE;BIRD
83746;COLISÃO COM AVE;BIRD
83745;COLISÃO COM AVE;BIRD
83744;COLISÃO COM AVE;BIRD
83743;COLISÃO COM AVE;BIRD
83742;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
83741;COLISÃO COM AVE;BIRD
83740;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83738;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83737;COLISÃO COM AVE;BIRD
83736;COLISÃO COM AVE;BIRD
83735;COLISÃO COM AVE;BIRD
83734;COLISÃO COM AVE;BIRD
83733;COLISÃO COM AVE;BIRD
83732;COLISÃO COM AVE;BIRD
83731;COLISÃO COM AVE;BIRD
83730;COLISÃO COM AVE;BIRD
83729;COLISÃO COM AVE;BIRD
83728;COLISÃO COM AVE;BIRD
83727;COLISÃO COM AVE;BIRD
83726;COLISÃO COM AVE;BIRD
83725;COLISÃO COM AVE;BIRD
83723;COLISÃO COM AVE;BIRD
83722;COLISÃO COM AVE;BIRD
83721;COLISÃO COM AVE;BIRD
83668;COLISÃO COM AVE;BIRD
83667;COLISÃO COM AVE;BIRD
