codigo_ocorrencia1;ocorrencia_tipo;taxonomia_tipo_icao
88808;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88804;OPERAÇÕES NO SOLO;[RAMP]
88794;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88783;COLISÃO COM AVE;BIRD
88769;EXCURSÃO DE PISTA;RE
88768;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88767;VOO CONTROLADO CONTRA O TERRENO;CFIT
88766;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
88765;GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS);ATM/CNS
88765;TRÁFEGO AÉREO;MAC
88764;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
88762;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88761;TRÁFEGO AÉREO;MAC
88760;COLISÃO NO SOLO;GCOL
88759;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88758;COMBUSTÍVEL;FUEL
88758;INCURSÃO EM PISTA;RI
88757;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88756;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88755;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
88754;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88750;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88749;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88747;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88746;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88744;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88743;COLISÃO COM AVE;BIRD
88742;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88741;COLISÃO COM AVE;BIRD
88740;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88739;COLISÃO COM AVE;BIRD
88738;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88737;INDETERMINADO;UNK
88737;TURBULÊNCIA;TURB
88736;TRÁFEGO AÉREO;MAC
88734;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88733;GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS);ATM/CNS
88732;COLISÃO COM AVE;BIRD
88731;COLISÃO COM AVE;BIRD
88730;COLISÃO COM AVE;BIRD
88729;COLISÃO COM AVE;BIRD
88728;COLISÃO COM AVE;BIRD
88727;COLISÃO COM AVE;BIRD
88726;COLISÃO COM AVE;BIRD
88725;COLISÃO COM AVE;BIRD
88724;TRÁFEGO AÉREO;MAC
88723;OUTROS;OTHR
88722;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88720;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88719;TRÁFEGO AÉREO;MAC
88718;TRÁFEGO AÉREO;MAC
88717;TRÁFEGO AÉREO;MAC
88716;TRÁFEGO AÉREO;MAC
88715;INCURSÃO EM PISTA;RI
88714;INCURSÃO EM PISTA;RI
88712;TRÁFEGO AÉREO;MAC
88710;PERDA DE CONTROLE EM VOO;LOC-I
88709;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88708;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88707;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88706;COLISÃO COM AVE;BIRD
88705;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88704;OUTROS;OTHR
88703;OPERAÇÃO A BAIXA ALTITUDE;LALT
88702;COLISÃO COM AVE;BIRD
88701;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88700;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88699;COLISÃO COM AVE;BIRD
88698;FOGO/FUMAÇA (SEM IMPACTO);F-NI
88697;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88696;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88695;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88694;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88693;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88692;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88691;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88690;PERDA DE CONTROLE EM VOO;LOC-I
88689;EXCURSÃO DE PISTA;RE
88688;PERDA DE CONTROLE NO SOLO;LOC-G
88687;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88686;CORTANTE DE VENTO / TEMPESTADE;WSTRW
88685;COLISÃO COM AVE;BIRD
88684;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88683;OPERAÇÕES NO SOLO;[RAMP]
88682;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88681;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88680;OPERAÇÕES NO SOLO;[RAMP]
88679;COLISÃO COM AVE;BIRD
88678;COLISÃO COM AVE;BIRD
88677;COLISÃO COM AVE;BIRD
88676;COLISÃO COM AVE;BIRD
88675;COLISÃO COM AVE;BIRD
88674;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88673;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88672;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88671;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88670;TRÁFEGO AÉREO;MAC
88669;TRÁFEGO AÉREO;MAC
88668;PERDA DE CONTROLE NO SOLO;LOC-G
88667;INCURSÃO EM PISTA;RI
88666;FOGO/FUMAÇA (SEM IMPACTO);F-NI
88665;CORTANTE DE VENTO / TEMPESTADE;WSTRW
88664;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88662;OUTROS;OTHR
88661;TRÁFEGO AÉREO;MAC
88660;PERDA DE CONTROLE EM VOO;LOC-I
88659;CONTATO ANORMAL COM A PISTAA;ARC
88659;EXCURSÃO DE PISTA;RE
88657;AERÓDROMO;ADRM
88656;COLISÃO COM AVE;BIRD
88655;COLISÃO COM AVE;BIRD
88653;COLISÃO COM AVE;BIRD
88652;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88651;COLISÃO COM AVE;BIRD
88650;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88649;COLISÃO COM AVE;BIRD
88648;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88647;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88646;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88645;TRÁFEGO AÉREO;MAC
88643;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88642;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88641;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88640;COLISÃO COM AVE;BIRD
88639;COMBUSTÍVEL;FUEL
88638;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88636;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88635;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
88635;EXCURSÃO DE PISTA;RE
88634;COLISÃO COM AVE;BIRD
88633;INCURSÃO EM PISTA;RI
88631;COLISÃO COM AVE;BIRD
88630;COLISÃO COM AVE;BIRD
88629;COLISÃO COM AVE;BIRD
88628;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88626;TRÁFEGO AÉREO;MAC
88625;TRÁFEGO AÉREO;MAC
88624;COLISÃO COM AVE;BIRD
88623;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88622;AERÓDROMO;ADRM
88622;COLISÃO COM FAUNA;WILD
88622;EXCURSÃO DE PISTA;RE
88621;OUTROS;OTHR
88620;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88619;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88618;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88617;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88616;COLISÃO COM AVE;BIRD
88614;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88613;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88612;COLISÃO COM AVE;BIRD
88611;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88610;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88609;VOO CONTROLADO CONTRA O TERRENO;CFIT
88608;GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS);ATM/CNS
88608;TRÁFEGO AÉREO;MAC
88606;PERDA DE CONTROLE EM VOO;LOC-I
88604;TRÁFEGO AÉREO;MAC
88603;COLISÃO COM AVE;BIRD
88602;COLISÃO COM AVE;BIRD
88601;COLISÃO COM AVE;BIRD
88600;COLISÃO COM AVE;BIRD
88599;COLISÃO COM AVE;BIRD
88598;COLISÃO COM AVE;BIRD
88597;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88596;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88595;FOGO/FUMAÇA (SEM IMPACTO);F-NI
88594;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88593;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88592;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88591;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88587;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88585;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88584;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88582;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88581;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88579;COLISÃO COM FAUNA;WILD
88579;EXCURSÃO DE PISTA;RE
88579;PERDA DE CONTROLE NO SOLO;LOC-G
88578;PERDA DE CONTROLE EM VOO;LOC-I
88577;TRÁFEGO AÉREO;MAC
88576;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88575;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88574;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88573;EXCURSÃO DE PISTA;RE
88572;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88570;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88569;PERDA DE CONTROLE EM VOO;LOC-I
88568;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88566;EXCURSÃO DE PISTA;RE
88565;COLISÃO COM AVE;BIRD
88562;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88561;AERÓDROMO;ADRM
88559;OPERAÇÃO A BAIXA ALTITUDE;LALT
88559;PERDA DE CONTROLE EM VOO;LOC-I
88558;OPERAÇÃO A BAIXA ALTITUDE;LALT
88558;PERDA DE CONTROLE EM VOO;LOC-I
88557;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88556;COLISÃO COM AVE;BIRD
88555;COLISÃO COM AVE;BIRD
88554;EXCURSÃO DE PISTA;RE
88553;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88552;EXCURSÃO DE PISTA;RE
88549;CONTATO ANORMAL COM A PISTAA;ARC
88549;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88548;EXCURSÃO DE PISTA;RE
88547;COLISÃO COM AVE;BIRD
88546;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88545;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88544;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88543;CONTATO ANORMAL COM A PISTAA;ARC
88542;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88541;EXCURSÃO DE PISTA;RE
88539;INCURSÃO EM PISTA;RI
88538;COLISÃO COM AVE;BIRD
88537;COLISÃO COM AVE;BIRD
88536;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88535;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88534;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88533;PERDA DE CONTROLE EM VOO;LOC-I
88532;OUTROS;OTHR
88531;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88530;TRÁFEGO AÉREO;MAC
88529;TRÁFEGO AÉREO;MAC
88528;TRÁFEGO AÉREO;MAC
88527;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88526;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88526;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88525;COLISÃO COM AVE;BIRD
88524;COLISÃO COM AVE;BIRD
88523;OPERAÇÕES NO SOLO;[RAMP]
88522;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88520;COLISÃO COM AVE;BIRD
88519;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88518;EXCURSÃO DE PISTA;RE
88518;PERDA DE CONTROLE NO SOLO;LOC-G
88516;PERDA DE CONTROLE EM VOO;LOC-I
88515;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
88515;EXCURSÃO DE PISTA;RE
88513;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88511;EXCURSÃO DE PISTA;RE
88511;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88510;OUTROS;OTHR
88509;EXCURSÃO DE PISTA;RE
88508;COLISÃO COM AVE;BIRD
88507;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88506;TRÁFEGO AÉREO;MAC
88505;TRÁFEGO AÉREO;MAC
88504;TRÁFEGO AÉREO;MAC
88503;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88502;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88501;TRÁFEGO AÉREO;MAC
88500;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88499;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88498;INDETERMINADO;UNK
88498;SEGURANÇA NA CABINE;CABIN
88497;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88496;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88495;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88494;VOO CONTROLADO CONTRA O TERRENO;CFIT
88493;INCURSÃO EM PISTA;RI
88492;COLISÃO COM AVE;BIRD
88491;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88490;SEGURANÇA NA CABINE;CABIN
88489;COLISÃO COM AVE;BIRD
88488;COLISÃO COM AVE;BIRD
88487;FOGO/FUMAÇA (SEM IMPACTO);F-NI
88486;FOGO/FUMAÇA (SEM IMPACTO);F-NI
88485;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88484;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88482;COLISÃO COM AVE;BIRD
88481;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88479;TRÁFEGO AÉREO;MAC
88478;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88477;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88476;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88475;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88474;COLISÃO COM AVE;BIRD
88473;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88472;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88471;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88470;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88469;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88468;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88466;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88465;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88464;TRÁFEGO AÉREO;MAC
88463;TRÁFEGO AÉREO;MAC
88462;OUTROS;OTHR
88461;GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS);ATM/CNS
88461;TRÁFEGO AÉREO;MAC
88460;PERDA DE CONTROLE EM VOO;LOC-I
88459;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88458;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88457;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88455;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88454;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88452;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88451;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88450;OUTROS;OTHR
88449;COLISÃO NO SOLO;GCOL
88448;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88447;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88446;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88445;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88444;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88443;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88442;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88441;CONTATO ANORMAL COM A PISTAA;ARC
88440;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88439;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
88438;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88437;OPERAÇÃO A BAIXA ALTITUDE;LALT
88436;TRÁFEGO AÉREO;MAC
88435;EXCURSÃO DE PISTA;RE
88434;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88433;TRÁFEGO AÉREO;MAC
88432;COMBUSTÍVEL;FUEL
88431;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88430;COLISÃO COM AVE;BIRD
88429;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88428;TRÁFEGO AÉREO;MAC
88427;FOGO/FUMAÇA (SEM IMPACTO);F-NI
88426;INCURSÃO EM PISTA;RI
88425;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88424;FOGO/FUMAÇA (SEM IMPACTO);F-NI
88423;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88422;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88421;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88420;CORTANTE DE VENTO / TEMPESTADE;WSTRW
88419;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88418;COLISÃO COM AVE;BIRD
88417;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88416;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88415;INCURSÃO EM PISTA;RI
88414;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88412;GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS);ATM/CNS
88412;INCURSÃO EM PISTA;RI
88411;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88410;TRÁFEGO AÉREO;MAC
88408;TRÁFEGO AÉREO;MAC
88407;TRÁFEGO AÉREO;MAC
88406;FOGO/FUMAÇA (SEM IMPACTO);F-NI
88405;TRÁFEGO AÉREO;MAC
88404;OPERAÇÃO A BAIXA ALTITUDE;LALT
88404;PERDA DE CONTROLE EM VOO;LOC-I
88403;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88402;EXCURSÃO DE PISTA;RE
88402;PERDA DE CONTROLE NO SOLO;LOC-G
88400;PERDA DE CONTROLE EM VOO;LOC-I
88399;COLISÃO NO SOLO;GCOL
88398;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
88397;AERÓDROMO;ADRM
88395;EXCURSÃO DE PISTA;RE
88394;TRÁFEGO AÉREO;MAC
88392;INCURSÃO EM PISTA;RI
88391;OPERAÇÕES NO SOLO;[RAMP]
88390;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
88389;COMBUSTÍVEL;FUEL
88388;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88387;FOGO/FUMAÇA (SEM IMPACTO);F-NI
88386;TRÁFEGO AÉREO;MAC
88385;OPERAÇÕES NO SOLO;[RAMP]
88384;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88383;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88380;TRÁFEGO AÉREO;MAC
88379;OPERAÇÕES NO SOLO;[RAMP]
88378;TRÁFEGO AÉREO;MAC
88377;TRÁFEGO AÉREO;MAC
88376;INCURSÃO EM PISTA;RI
88375;TRÁFEGO AÉREO;MAC
88374;TRÁFEGO AÉREO;MAC
88373;COLISÃO COM AVE;BIRD
88372;COLISÃO COM AVE;BIRD
88371;COLISÃO COM AVE;BIRD
88370;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88369;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88368;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88367;INCURSÃO EM PISTA;RI
88365;CONTATO ANORMAL COM A PISTAA;ARC
88364;CONTATO ANORMAL COM A PISTAA;ARC
88363;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88361;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88360;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88359;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88358;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88357;TRÁFEGO AÉREO;MAC
88356;GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS);ATM/CNS
88356;TRÁFEGO AÉREO;MAC
88355;TRÁFEGO AÉREO;MAC
88354;TRÁFEGO AÉREO;MAC
88353;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
88350;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88350;PERDA DE CONTROLE EM VOO;LOC-I
88349;COMBUSTÍVEL;FUEL
88348;CONTATO ANORMAL COM A PISTAA;ARC
88347;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88345;TRÁFEGO AÉREO;MAC
88344;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88343;COLISÃO COM AVE;BIRD
88342;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88341;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88340;INCURSÃO EM PISTA;RI
88339;COLISÃO COM AVE;BIRD
88339;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88338;TRÁFEGO AÉREO;MAC
88337;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88336;TRÁFEGO AÉREO;MAC
88335;TRÁFEGO AÉREO;MAC
88334;TRÁFEGO AÉREO;MAC
88333;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88331;COLISÃO COM AVE;BIRD
88330;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88328;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88326;EXCURSÃO DE PISTA;RE
88324;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88323;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
88322;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88322;TRÁFEGO AÉREO;MAC
88321;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
88320;INCURSÃO EM PISTA;RI
88319;INCURSÃO EM PISTA;RI
88318;COLISÃO COM AVE;BIRD
88317;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
