arquivo,numero,codigo_ocorrencia,join,fatal,n_fatalidades,nivel_dano,h_total,h_tipo,h_total_30d,h_total_24h,idade_pic,fonte_horas,tipo_operacao,fase_voo,motor_tipo,motor_qtd,pmd,assentos,ano_fabricacao,fabricante,modelo,tipo_ocorrencia,tipo_icao,uf,ano_ocorrencia,meteo,total_recomendacoes,fator_humano,fator_operacional,fator_material,n_fatores
pp_giv_01_12_2016.pdf,A-535/CENIPA/2016,34775,numero,0,0,SUBSTANCIAL,380.0,40.0,,,,narrativa,INSTRUÇÃO,POUSO,PISTÃO,1,770,2,1992,AERO BOERO,AB-115,PERDA DE CONTROLE NO SOLO,LOC-G,RS,2008,,1,1,1,0,6
pp_gja_29_06_12.pdf,A-177/CENIPA/2013,46038,numero,0,0,SUBSTANCIAL,,,,,,narrativa,INSTRUÇÃO,CORRIDA APÓS POUSO,PISTÃO,1,680,2,1982,PIPER AIRCRAFT,PA-18,EXCURSÃO DE PISTA,RE,SP,2012,,0,0,0,0,0
pp_gkg_30_11_10.pdf,A-086/CENIPA/2012,43361,numero,0,0,SUBSTANCIAL,118.5,24.5,10.0,0.92,,tabela,INSTRUÇÃO,POUSO,PISTÃO,1,680,2,1950,PIPER AIRCRAFT,PA-18,PERDA DE CONTROLE NO SOLO,LOC-G,RS,2010,,2,0,1,0,2
pp_gls_16_07_12.pdf,A-178/CENIPA/2013,46179,numero,0,0,SUBSTANCIAL,,,,,,narrativa,INSTRUÇÃO,DECOLAGEM,PISTÃO,1,770,3,1992,AERO BOERO,AB-115,PERDA DE CONTROLE NO SOLO,LOC-G,SP,2012,,0,0,0,0,0
pp_gma_08_01_14_1.pdf,A-008/CENIPA/2014,52938,numero,0,0,SUBSTANCIAL,360.0,,,,,narrativa,INSTRUÇÃO,CORRIDA APÓS POUSO,PISTÃO,1,770,2,1992,AERO BOERO,AB-115,EXCURSÃO DE PISTA,RE,PR,2014,,0,0,1,0,4
pp_gma_18_04_11.pdf,A-090/CENIPA/2012,44437,numero,0,0,SUBSTANCIAL,261.83,126.0,20.0,1.0,,tabela,INSTRUÇÃO,CORRIDA APÓS POUSO,PISTÃO,1,770,2,1992,AERO BOERO,AB-115,POUSO LONGO,RE,PR,2011,,4,0,1,0,4
pp_gmh_04_02_10.pdf,A-011/CENIPA/2011,39316,numero,0,0,SUBSTANCIAL,6000.0,3000.0,7.33,1.17,,tabela,INSTRUÇÃO,POUSO,PISTÃO,1,770,2,1992,AERO BOERO,AB-115,POUSO ANTES DA PISTA,USOS,SC,2010,,2,0,1,0,6
pp_gny_19_10_10.pdf,A-096/CENIPA/2011,43449,numero,0,0,SUBSTANCIAL,440.0,280.0,50.0,3.0,,tabela,INSTRUÇÃO,ARREMETIDA NO SOLO,PISTÃO,1,770,2,1993,AERO BOERO,AB-115,PERDA DE CONTROLE NO SOLO,LOC-G,PR,2010,,2,0,1,0,5
pp_goi_28_07_09.pdf,A-052/CENIPA/2010,38316,numero,0,0,SUBSTANCIAL,68.42,68.42,2.08,1.08,,tabela,INSTRUÇÃO,CORRIDA APÓS POUSO,PISTÃO,1,770,2,1993,AERO BOERO,AB-115,PERDA DE CONTROLE NO SOLO,LOC-G,RS,2009,,1,1,1,0,12
pp_gpc_15_12_07.pdf,A-067/CENIPA/2013,31276,numero,1,2,DESTRUÍDA,240.0,91.0,9.5,1.75,,tabela,INSTRUÇÃO,MANOBRA,PISTÃO,1,770,2,1993,AERO BOERO,AB-115,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,MG,2007,,3,1,1,0,7
